id:ID(Comment)|creationDate:LONG|locationIP:STRING|browserUsed:STRING|content:STRING|length:INT
137438953797|20100504091411351|27.116.33.147|Safari|yes|3
137438953798|20100504175046181|27.116.33.147|Safari|thanks|6
343597384499|20101111183325877|31.192.109.124|Internet Explorer|yes|3
343597384500|20101112140233361|91.191.192.127|Firefox|About Good Vibrations, ad single for an album, but as a stand-alone single, although it would be later considered for the ill|125
343597384501|20101111205718186|31.192.109.124|Internet Explorer|About Bishopric of Würzburg, a having relinquished the territory in return for the Tyrol. This new state la|107
343597384502|20101113083038094|196.29.42.107|Firefox|LOL|3
343597384503|20101112005312168|31.185.10.92|Internet Explorer|good|4
343597384504|20101112023506566|31.192.109.124|Internet Explorer|yes|3
343597384505|20101111221714510|196.29.42.107|Firefox|maybe|5
343597384506|20101113011058553|41.190.73.195|Safari|About Trinidad and Tobago, y forces in the English speaking Caribbean. Its missi|80
343597384507|20101112060602728|196.29.42.107|Firefox|About The Gambia,  land of the country, the economy is dominated by farmin|74
343597384508|20101112084357521|103.1.176.97|Safari|About Downtown Train, ic cover of the song. Bob Seger also recorded a cover versio|82
343597384509|20101113165643650|31.209.179.5|Firefox|ok|2
343597384510|20101111212511137|31.209.179.5|Firefox|About Wolfgang Amadeus Mozart, omposer of the Classical era. He composed About Stil|83
343597384511|20101112061857337|91.191.192.127|Firefox|roflol|6
343597384512|20101111215616987|103.1.176.97|Safari|About Francis of Assisi, he men's Franciscan Order, the women’s OAbout Still th|79
343597384513|20101112054150155|27.98.220.136|Firefox|cool|4
274877907779|20101005024004876|31.182.127.125|Internet Explorer|About Marin Čilić, by his fellow cAbout Horatio Nelson, 1st Viscount Nelson, e captur|85
274877907780|20101005102648986|31.24.100.159|Firefox|LOL|3
274877907781|20101005050037738|103.1.176.97|Safari|About Marin Čilić, fellow countryman About Cliff Richard, ) is a comic book About Comes |88
274877907782|20101005074615237|31.192.109.124|Internet Explorer|good|4
274877907783|20101005101518636|192.190.31.253|Chrome|I see|5
274877907784|20101005042623466|103.1.176.97|Safari|About Marin Čilić, ett. He went on to turn pAbout Muhammad Ali, ly three-time lineal WorlAbout Czech Republic, nnexation of Zaolzie and About Chad,|147
274877907785|20101005022315597|196.29.42.107|Firefox|About Marin Čilić, ung age; hisAbout Wayne Gretzky, scorer, GretAbout England,|78
274877907786|20101005024455962|196.29.42.107|Firefox|About Horatio Nelson, 1st Viscount Nelson, er 1805) was aAbout Henry V of Engla|79
274877907787|20101006023542314|31.185.10.92|Internet Explorer|good|4
274877907788|20101005071224940|192.190.31.253|Chrome|great|5
274877907789|20101005113617203|31.209.179.5|Firefox|no way!|7
